x, y
1.6342412451361867, 8.809831824062096
1.5408560311284047, 9.029754204398449
1.4357976653696498, 9.327296248382924
1.424124513618677, 9.689521345407504
1.5525291828793775, 9.909443725743856
1.727626459143969, 9.98706338939198
1.9377431906614786, 10
2.1011673151750974, 9.974126778783958
2.2412451361867705, 9.883570504527814
2.357976653696498, 9.754204398447607
2.3813229571984436, 9.573091849935317
2.357976653696498, 9.41785252263907
2.3463035019455254, 9.210866752910738
2.2879377431906613, 9.055627425614489
2.217898832684825, 8.913324708926261
2.1712062256809337, 8.783958602846054
