x, y
1.2373540856031129, 6.28719275549806
1.2373540856031129, 6.66235446313066
1.2373540856031129, 6.972833117723157
1.2957198443579767, 7.270375161707633
1.2607003891050583, 7.632600258732213
1.2607003891050583, 7.981888745148772
1.2373540856031129, 8.305304010349289
1.4357976653696498, 8.460543337645538
1.5992217898832686, 8.589909443725745
1.8326848249027237, 8.602846054333765
2.182879377431907, 8.602846054333765
2.3929961089494163, 8.473479948253559
2.509727626459144, 8.31824062095731
2.5214007782101167, 7.9948253557567925
2.5214007782101167, 7.6455368693402335
2.509727626459144, 7.425614489003881
2.5330739299610894, 7.153945666235447
2.544747081712062, 6.9210866752910745
2.5330739299610894, 6.714100905562743
2.5330739299610894, 6.494178525226391
2.5330739299610894, 6.300129366106081
